,Life_expectancy,Adult_Mortality,Alcohol,percentage_expenditure,Total_expenditure,GDP
113,82.7,6.0,9.71,10769.36305,9.42,62214.6912
114,82.5,61.0,9.87,11734.85381,9.36,67792.3386
115,82.3,61.0,10.03,11714.99858,9.36,67677.63477
116,82.0,63.0,10.3,10986.26527,9.2,62245.129
117,81.9,64.0,10.52,8875.786493,9.2,51874.848
118,81.7,66.0,10.62,7172.275229,9.5,42742.99898
119,81.3,66.0,10.76,8547.292357,8.78,49664.6854
120,81.3,66.0,10.56,872.5986092,8.53,4991.98289
121,81.2,66.0,10.31,6187.062017,8.49,36118.28381
122,81.0,67.0,10.3,579.1331637,8.45,3416.71483
123,86.0,69.0,9.84,588.568371,8.57,3472.37977
124,83.0,71.0,9.97,3829.550928,8.32,23465.38559
125,79.9,73.0,9.84,46.3871819,8.39,281.81763
126,79.9,75.0,9.53,3064.301144,8.18,19517.84168
127,79.5,78.0,10.17,347.18736,8.8,2169.921
129,81.4,66.0,12.32,8350.193523,11.21,51322.63997
130,81.1,68.0,11.82,90.58501176,11.14,554.71532
131,88.0,7.0,12.26,7878.372355,11.17,48333.57273
132,88.0,73.0,12.04,8272.306757,1.94,51126.74139
133,84.0,75.0,12.1,7423.228774,11.17,46657.629
134,82.0,77.0,11.3,8053.557638,11.19,47654.18721
135,84.0,76.0,12.0,8329.731655,1.6,51386.37665
136,81.0,8.0,12.5,7453.8644,1.4,46586.6525
137,79.8,81.0,12.4,69.92899358,1.35,443.99361
138,79.4,85.0,12.4,5992.588029,1.53,38242.4252
139,79.3,86.0,12.1,5316.877456,1.56,36693.4262
140,78.8,88.0,12.2,504.4308735,1.48,3212.9355
141,78.7,9.0,12.5,3979.057728,1.27,26351.37568
142,78.6,92.0,12.4,3582.848308,1.12,24489.73553
143,78.1,96.0,13.2,3557.455507,1.6,24517.26745
241,89.0,76.0,12.6,7163.348923,1.59,47439.39684
242,87.0,77.0,11.77,702.359357,1.57,4651.38647
243,83.0,78.0,10.08,664.4738975,1.54,4474.5717
244,83.0,8.0,10.11,713.5297354,1.42,4772.77415
245,80.0,81.0,10.22,665.7356115,1.17,4438.23741
246,79.8,85.0,10.05,671.9376566,1.39,4488.5615
247,79.5,87.0,10.47,7191.051507,9.6,48424.58927
248,79.5,86.0,10.25,640.3560918,9.25,4443.83131
249,79.4,85.0,10.98,5579.199083,9.17,38852.3613
250,78.9,89.0,12.27,5068.214488,9.24,36967.28292
251,78.8,91.0,12.05,5160.508378,9.32,35589.71295
252,78.3,95.0,11.28,507.306164,9.3,3743.95693
253,78.0,99.0,11.29,320.3177664,8.46,2552.3328
254,78.0,1.0,11.01,2943.375396,8.29,23121.56635
255,77.6,11.0,11.21,287.2084529,8.12,2327.4591
385,74.3,138.0,12.03,153.1400362,8.44,7853.335191
386,74.1,14.0,12.06,149.659879,7.93,7674.86559
387,73.9,139.0,10.99,851.450672,7.11,7378.25539
388,73.7,144.0,10.67,875.1495189,6.88,7813.83499
389,73.4,147.0,10.8,766.4454884,7.24,6843.263289
390,73.2,152.0,10.93,661.5144334,6.78,6955.987733
391,72.9,155.0,10.98,107.9826127,6.61,7296.122479
392,72.6,157.0,10.89,591.5100978,6.41,5932.899677
393,72.2,161.0,10.39,508.6304588,6.67,4513.13628
394,72.1,16.0,10.48,456.3404657,7.8,3893.68998
395,72.2,157.0,10.96,384.1473028,7.9,3381.57837
396,72.0,155.0,11.19,32.38616103,7.43,271.46824
397,71.8,157.0,10.2,33.26778134,7.41,287.534843
398,71.6,16.0,10.72,25.06262895,7.23,1764.97387
399,71.1,163.0,9.69,15.2357274,6.7,169.28586
642,77.8,97.0,12.14,1884.098811,7.8,13467.46827
643,77.7,97.0,12.39,1899.107385,7.83,13574.749
644,77.1,14.0,11.49,1851.713262,7.8,13235.97757
645,77.0,14.0,12.19,1913.356642,7.8,14539.18421
646,76.6,16.0,12.1,206.8868182,8.25,1355.74586
647,76.3,19.0,12.21,2160.380199,8.18,14157.14416
648,76.0,116.0,12.06,2425.403891,7.7,15893.8656
649,75.8,114.0,12.56,2019.812779,7.44,13546.69872
650,75.9,113.0,11.83,1555.651986,6.95,11363.41845
651,75.2,116.0,11.59,167.2319899,6.89,1224.2459
652,75.4,114.0,13.11,1116.396502,6.56,9365.742468
653,74.7,122.0,13.78,93.67706503,6.35,785.881418
654,74.8,124.0,13.39,11.63615139,6.19,653.71637
655,74.9,126.0,13.15,650.9567981,7.16,5245.421419
656,74.7,127.0,12.73,649.3909871,7.66,4919.62869
674,83.0,53.0,0.01,207.3041936,7.37,2734.88382
675,81.0,54.0,9.04,212.0859259,7.46,2797.96736
676,80.0,56.0,10.55,2159.756205,7.44,28951.15556
677,79.7,57.0,10.69,2443.325028,7.54,32233.83942
678,79.5,59.0,11.32,283.3300258,7.23,3818.46396
679,79.3,6.0,10.8,230.2524184,7.4,3215.8159
680,79.1,62.0,12.01,239.6409938,6.89,3539.7488
681,78.9,63.0,11.56,1958.525877,6.5,31386.63265
682,78.8,64.0,11.47,1700.841534,6.28,27169.99256
683,78.7,65.0,11.41,1562.520827,6.37,25324.48666
684,78.6,65.0,13.03,1586.724172,6.42,23932.49128
685,78.5,66.0,10.62,158.7087399,6.83,2293.4789
686,78.4,68.0,11.68,1128.050886,6.12,16372.29152
687,78.2,69.0,10.16,100.8086193,5.78,1562.92433
688,78.1,7.0,9.56,950.8027925,5.77,14672.8826
738,84.0,73.0,9.64,10468.76292,1.8,62425.5392
739,81.0,75.0,9.5,10261.763,11.25,61191.19263
740,80.0,76.0,9.26,928.4170785,1.98,5857.521
741,79.7,79.0,10.47,10251.10872,1.87,61753.667
742,79.2,84.0,10.28,954.4865933,11.8,5841.41122
743,78.9,86.0,10.08,9765.616994,11.47,58163.29359
744,78.8,88.0,10.7,10761.18209,1.18,64322.6664
745,78.4,93.0,10.99,9703.068121,9.99,58487.451
746,78.1,93.0,11.02,850.9544783,9.92,5226.99311
747,78.1,92.0,11.28,7627.412444,9.77,48799.8237
748,77.7,98.0,11.27,6948.839868,9.67,46511.6457
749,77.3,11.0,11.54,650.9813544,9.51,4458.7764
750,77.0,14.0,11.34,4801.546125,9.33,33228.69291
751,77.0,12.0,11.56,530.4832336,9.1,3751.64946
752,76.9,12.0,11.69,508.7496912,8.7,3743.55917
995,89.0,69.0,11.03,941.7562909,11.3,4792.65288
996,86.0,71.0,10.94,895.8779503,11.16,4653.91143
997,86.0,71.0,11.18,839.91332,1.99,4465.24891
998,85.0,74.0,11.2,869.790735,1.93,4681.32796
999,81.0,76.0,11.2,7584.078579,11.25,41785.55691
1000,80.0,79.0,11.22,7641.270645,11.4,41732.7725
1001,79.9,8.0,11.36,8285.264655,1.39,45699.19832
1002,79.8,82.0,11.5,7777.556353,1.18,41814.8191
1003,79.6,84.0,11.76,6407.535954,1.34,36447.87232
1004,79.2,85.0,11.67,6012.92584,1.52,34696.6292
1005,79.1,86.0,11.83,5842.374765,1.37,34165.9343
1006,78.5,9.0,11.92,582.6157028,1.62,3359.95215
1007,78.4,91.0,12.25,437.1059663,1.4,2525.16445
1008,78.3,92.0,12.46,4057.637383,1.15,23687.31689
1009,78.0,95.0,12.91,4238.540035,1.1,23718.7467
1155,75.6,137.0,0.01,160.9449342,7.4,14117.97668
1156,75.5,139.0,10.88,155.1952076,7.53,13613.6147
1157,75.0,146.0,11.27,164.2793407,7.74,12834.32349
1158,74.8,15.0,11.51,17.82121883,7.84,1448.87958
1159,74.5,156.0,10.78,19.22023996,7.85,1325.53379
1160,74.2,162.0,11.46,1281.155944,7.55,12967.16543
1161,74.1,165.0,11.64,181.7634078,7.33,15669.25929
1162,73.5,176.0,12.55,163.3433278,7.51,13842.6549
1163,73.4,177.0,13.16,1299.459306,8.1,11398.76584
1164,72.9,182.0,12.94,1317.08348,8.28,11161.72441
1165,72.9,18.0,13.28,146.8608016,8.8,1259.5266
1166,72.5,184.0,13.24,1030.220271,8.42,8396.25323
1167,72.5,184.0,13.29,8.98619805,7.47,665.6443
1168,72.3,185.0,13.18,7.601092416,7.11,527.85364
1169,71.7,193.0,12.22,75.36251406,7.6,4623.46712
1171,82.5,49.0,7.45,8254.020763,8.86,52473.11356
1172,82.4,5.0,7.31,764.5440691,8.75,4781.3888
1173,82.5,5.0,7.81,6818.546407,8.68,44333.8518
1174,82.1,51.0,8.13,7.0480925,8.65,46.217
1175,81.8,53.0,8.25,6005.575763,8.86,41676.44527
1176,81.6,55.0,10.22,687.5776358,9.12,4461.89251
1177,81.4,58.0,8.49,7613.814999,8.8,55575.29196
1178,81.3,59.0,7.53,12042.97366,8.75,68348.31817
1179,81.1,61.0,7.2,1003.139804,8.96,5613.54115
