,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,under-five deaths ,Total expenditure,GDP,Income composition of resources
0,65.0,263.0,62,0.01,71.27962362,83,8.16,584.25921,0.479
1,59.9,271.0,64,0.01,73.52358168,86,8.18,612.696514,0.476
2,59.9,268.0,66,0.01,73.21924272,89,8.13,631.744976,0.47
3,59.5,272.0,69,0.01,78.1842153,93,8.52,669.959,0.463
4,59.2,275.0,71,0.01,7.097108703,97,7.87,63.537231,0.454
5,58.8,279.0,74,0.01,79.67936736,102,9.2,553.32894,0.448
6,58.6,281.0,77,0.01,56.76221682,106,9.42,445.8932979,0.434
7,58.1,287.0,80,0.03,25.87392536,110,8.33,373.3611163,0.433
8,57.5,295.0,82,0.02,10.91015598,113,6.73,369.835796,0.415
9,57.3,295.0,84,0.03,17.17151751,116,7.43,272.56377,0.405
10,57.3,291.0,85,0.02,1.388647732,118,8.7,25.2941299,0.396
11,57.0,293.0,87,0.02,15.29606643,120,8.79,219.1413528,0.381
12,56.7,295.0,87,0.01,11.08905273,122,8.82,198.7285436,0.373
13,56.2,3.0,88,0.01,16.88735091,122,7.76,187.84595,0.341
14,55.3,316.0,88,0.01,10.5747282,122,7.8,117.49698,0.34
15,54.8,321.0,88,0.01,10.42496,122,8.2,114.56,0.338
16,77.8,74.0,0,4.6,364.9752287,0,6.0,3954.22783,0.762
17,77.5,8.0,0,4.51,428.7490668,1,5.88,4575.763787,0.761
18,77.2,84.0,0,4.76,430.8769785,1,5.66,4414.72314,0.759
19,76.9,86.0,0,5.14,412.4433563,1,5.59,4247.61438,0.752
20,76.6,88.0,0,5.37,437.0621,1,5.71,4437.17868,0.738
21,76.2,91.0,1,5.28,41.82275719,1,5.34,494.358832,0.725
22,76.1,91.0,1,5.79,348.0559517,1,5.79,4114.136545,0.721
23,75.3,1.0,1,5.61,36.62206845,1,5.87,437.539647,0.713
24,75.9,9.0,1,5.58,32.24655228,1,6.1,363.13685,0.703
25,74.2,99.0,1,5.31,3.3021542,1,5.86,35.1293,0.696
26,73.5,15.0,1,5.16,26.99312143,1,6.12,279.142931,0.685
27,73.0,17.0,1,4.54,221.8428,1,6.38,2416.588235,0.681
28,72.8,18.0,1,4.29,14.71928882,1,6.27,189.681557,0.674
29,73.3,15.0,1,3.73,104.5169157,1,6.3,1453.642777,0.67
30,73.6,14.0,1,4.25,96.20557078,1,6.0,1326.97339,0.662
31,72.6,11.0,1,3.66,91.71154052,1,6.26,1175.788981,0.656
33,75.4,11.0,21,0.01,54.2373183,24,7.21,547.8517,0.741
34,75.3,112.0,21,0.53,544.4507432,24,7.12,5471.866766,0.737
35,75.1,113.0,21,0.66,555.9260834,24,6.14,5564.82566,0.732
36,74.9,116.0,21,0.56,509.0020405,24,5.29,5432.2523,0.724
37,74.7,119.0,21,0.45,430.7175861,24,5.12,4463.394675,0.714
38,74.4,123.0,20,0.5,352.0636419,23,5.36,3868.83123,0.705
39,74.1,126.0,20,0.46,43.08717334,23,4.2,495.254866,0.697
40,73.8,129.0,20,0.44,320.3239241,23,3.82,3935.183343,0.69
41,73.4,132.0,20,0.36,270.2401962,23,3.36,3464.6179,0.686
42,72.9,136.0,19,0.5,2.548922758,22,3.24,31.122378,0.68
43,72.3,14.0,19,0.45,220.393699,23,3.54,2598.9823,0.673
44,71.7,146.0,20,0.34,25.0185226,23,3.6,294.33556,0.663
45,71.6,145.0,20,0.36,148.5119843,23,3.73,1774.33673,0.653
46,71.4,145.0,20,0.23,147.9860714,24,3.84,1732.857979,0.644
47,71.3,145.0,21,0.25,154.4559436,25,3.49,1757.17797,0.636
49,51.7,348.0,67,8.33,23.965612,101,3.31,479.31224,0.527
50,51.1,355.0,69,8.1,35.95857279,105,4.26,484.616884,0.523
51,56.0,358.0,72,8.24,256.1225243,110,3.3,4598.249988,0.508
52,51.0,361.0,75,8.06,239.8913921,115,3.38,4299.12889,0.495
53,49.6,365.0,78,7.8,191.6537407,121,3.39,3529.53482,0.488
54,49.1,369.0,81,7.01,212.9229325,127,4.37,3347.84485,0.48
55,48.7,371.0,84,7.07,249.9101958,133,3.84,3868.578883,0.468
56,48.2,375.0,87,6.35,184.8213446,138,3.38,2878.837144,0.454
57,47.7,381.0,90,5.84,25.08688824,143,4.54,262.415149,0.439
58,47.4,382.0,92,5.04,98.19145117,148,4.1,1443.991929,0.426
59,47.1,386.0,94,3.53,8.8667775,152,4.71,141.86844,0.415
60,46.8,388.0,95,3.49,35.93349121,155,4.41,779.468356,0.406
61,46.5,391.0,96,2.82,24.037942,157,3.63,711.181716,0.401
62,45.7,44.0,97,2.58,30.35993647,159,5.38,526.168743,0.391
63,45.3,48.0,97,1.85,15.88149254,160,2.79,555.2969419,0.382
65,76.2,131.0,0,8.56,2422.999774,0,5.54,12888.29667,0.782
66,76.1,133.0,0,8.58,1991.430372,0,5.33,12224.86416,0.781
67,75.9,134.0,0,8.18,2156.229842,0,5.39,12565.44197,0.778
68,75.7,136.0,0,7.84,1810.875316,0,5.65,11929.34991,0.782
69,75.6,138.0,0,7.84,1983.956937,0,5.63,12126.87614,0.783
70,75.4,14.0,0,7.82,149.3587355,0,4.86,1312.46692,0.788
71,75.2,142.0,0,8.27,180.7762695,0,4.69,1473.31923,0.786
72,75.0,144.0,0,8.64,257.9665308,0,4.27,14252.29452,0.781
73,74.8,145.0,0,8.93,216.3146941,0,4.34,12724.39377,0.773
74,74.6,147.0,0,8.15,1455.608186,0,4.41,11371.93895,0.0
75,74.4,149.0,0,7.28,22.86295206,0,4.21,1352.8374,0.0
