,life_expectancy,adult_mortality,alcohol,percentage_expenditure,under_five_deaths,total_expenditure,gdp,income_composition_of_resources,schooling
0,65.0,263.0,0.01,71.27962362,83.0,8.16,584.25921,0.479,10.1
16,77.8,74.0,4.6,364.9752287,44.84496124031008,6.0,3954.22783,0.762,14.2
32,75.6,19.0,5.288333333333333,0.0,24.0,7.08,4132.76292,0.743,14.4
48,52.4,335.0,5.288333333333333,0.0,98.0,7.08,3695.793748,0.531,11.4
64,76.4,13.0,5.288333333333333,0.0,44.84496124031008,7.08,13566.9541,0.784,13.9
80,76.3,116.0,5.288333333333333,0.0,9.0,7.08,13467.1236,0.826,17.3
96,74.8,118.0,5.288333333333333,0.0,1.0,7.08,369.654776,0.741,12.7
112,82.8,59.0,5.288333333333333,0.0,1.0,7.08,56554.3876,0.937,20.4
128,81.5,65.0,5.288333333333333,0.0,44.84496124031008,7.08,43665.947,0.892,15.9
144,72.7,118.0,5.288333333333333,0.0,6.0,7.08,55.31382,0.758,12.7
160,76.1,147.0,5.288333333333333,0.0,44.84496124031008,7.08,7185.331746333765,0.79,12.6
176,76.9,69.0,5.288333333333333,0.0,44.84496124031008,7.08,22688.87824,0.823,14.5
192,71.8,129.0,5.288333333333333,0.0,113.0,7.08,121.15812,0.575,10.2
208,75.5,98.0,5.288333333333333,0.0,44.84496124031008,7.08,15557.8381,0.794,15.3
224,72.3,196.0,5.288333333333333,0.0,44.84496124031008,7.08,5949.11677,0.798,15.6
240,81.1,74.0,5.288333333333333,0.0,1.0,7.08,4356.875,0.895,16.6
256,71.0,175.0,5.288333333333333,0.0,44.84496124031008,7.08,4849.997495,0.706,12.8
272,60.0,249.0,5.288333333333333,0.0,39.0,7.08,783.94791,0.481,10.7
288,69.8,211.0,5.288333333333333,0.0,44.84496124031008,7.08,2613.645177,0.604,12.5
304,77.0,186.0,5.288333333333333,0.0,10.0,7.08,7185.331746333765,0.671,13.8
320,77.4,88.0,5.288333333333333,0.0,44.84496124031008,7.08,4574.9787,0.747,14.2
336,65.7,256.0,5.288333333333333,0.0,2.0,7.08,6532.651,0.698,12.6
352,75.0,142.0,5.288333333333333,0.0,47.0,7.08,8757.2622,0.754,15.2
368,77.7,78.0,5.288333333333333,0.0,44.84496124031008,7.08,3967.8951,0.864,14.9
384,74.5,137.0,5.288333333333333,0.0,1.0,7.08,6993.47736,0.792,15.0
400,59.9,26.0,5.288333333333333,0.0,61.0,7.08,615.592225,0.399,7.7
416,59.6,288.0,5.288333333333333,0.0,31.0,7.08,33.681223,0.406,10.6
